Strike ID,Bureau ID,Date,Time,Location,Area,Target,Target Group,Westerners involved,Minimum Total Killed,Mean Total Killed,Maximum Total Killed,Number of deaths,AQ/TB Killed,Minimum civilians killed,Maximum civilians killed,Civilians Killed,Min injured,Max injured,Injured,Minimum children killed,Max children killed,Children Killed,Pakistani approval,Short Summary,Related ID,Notes
3,B1,6/17/04,1/0/00,Wana,South Waziristan,Nek Mohammed,,,6,7,8,6-8,5,2,2,2,1,1,At least 1,2,2,2,Likely,"First known drone strike in Pakistan kills 7, including Taliban leader and 2 children. Wana, South Waziristan.",,
4,B2,5/8/05,1/0/00,Toorikhel,North Waziristan,Haitham al-Yemeni,,,2,2,2,2,1 al-Qaeda,,,,,,,,,,Likely,"Two killed, including al Qaeda operative, near Mir Ali, North Waziristan.",,
5,B3,11/5/05,,Mosaki,North Waziristan,Abu Hamza Rabia,,,8,8,8,8,0,3,8,3-8,1,1,1,2,3,3,,"Failed strike against Al Qaeda official kills 8 including 3 children. Mosaki, North Waziristan.",B4,
6,B4,12/1/05,1/0/00,Haisori,North Waziristan,Abu Hamza Rabia,,,6,5,6,5,1 al-Qaeda,2,3,2,,,,2,2,2,,"Three Al Qaeda killed along with two children. Haisori, North Waziristan.",B3; B39,
8,B5,1/13/06,,Damadola,Bajaur Agency,Ayman al-Zawahiri; Abu Khabab al-Masri; Abd Rahman al-Masri al-Maghribi; Abu Ubeidah al-Masri; Marwan al-Suri; Khalid Habib; Abdul Hadi al-Iraqi,AQ,,13,20,22,13-22,0-4,10,18,10-18,,,,5,6,5,,"Failed strike on al Qaeda – with none killed despite initial claims.  Up to 22 people die, most or all civilians, including five children. Damadola, Bajaur Agency.",B19,
9,B6,10/30/06,,Chenegai,Bajaur Agency,Maulvi Liaqat,AQ,,81,82,83,81-83,,80,82,80-82,3,3,,68,70,68-70,,"82 killed, including up to 69 children, in attack on religious school in Chenegai, Bajaur Agency.",,
10,B7,1/16/07,1/0/00,Zamazola,South Waziristan,,Taliban,,8,8,8,8,,8,8,8,,,Unknown,1,1,1,,`,,
11,B8,4/27/07,1/0/00,Saidgai,North Waziristan,Maulvi Noor Mohammed,Taliban,,3,4,4,3-4,0-4,3,4,4,3,9,3,,,,,"Four killed, reportedly all named civilians, in Danda Saidgi, North Waziristan.",,
12,B9,6/19/07,1/0/00,Mami Rogha,North Waziristan,,Unknown,,20,27,34,20-34,,0,34,0-34,10,15,10-15,,,Possibly,,"20-34 killed in attack on madrassa, including ‘foreigners’. One report of children among dead. Mami Rogha, North Waziristan.",,
13,B10,11/2/07,1/0/00,Danda Darpakhel,North Waziristan,Jalalludin Haqqani,Haqqani,,5,8,10,5-10,5-10,,,,6,12,6-12,,,,,"Attack kills 5-10 alleged Haqqani militants. Danda Darpakhel, North Waziristan.",,
14,B11,12/3/07,,Jani Khel,Bannu Frontier,Shaykh Issa al-Masri,AQ,,0,0,0,Unknown,,,,,1,1,1,,,,,"Strike injures al Qaeda local leader in Jani Khel, Bannu.",,
15,B12,1/29/08,,Mir Ali,North Waziristan,Abu Laith al-Libi,AQ,,12,14,15,12-15,4 al-Qaeda,4,6,4-6,1,2,1-2,2,3,3,No,"Al Qaeda militants killed along with two women and three children in Mir Ali, North Waziristan.",,
16,B13,2/28/08,1/0/00,Azam Warsak,South Waziristan,,Unknown,,10,11,13,10-13,,0,0,0-5,6,16,6-16,,,,Unlikely,"8-13 killed, including possibly students, in strike on Kaloosha, North Waziristan.",B21; B22,
17,B14,3/16/08,1/0/00,Dhook Pir Bagh,South Waziristan,,AQ,,18,12,20,18-20,18-20,0,4,0-4,5,9,9,,,,,"Al Qaeda militant and 15 others killed in strike on Dhook Pir Bagh, South Waziristan.",,
18,B15,5/14/08,1/0/00,Damadola,Bajaur Agency,Abu Sulayman al-Jazairi,AQ,,12,14,20,12-20,4-11 (1 al-Qaeda),4,6,4-6,9,9,9,1,4,3,Possible,"Failed attack on al Qaeda expert kills up to 15, including three children. Damadola, Bajaur.",B6; O14,
19,B16,6/14/08,,Makeen,South Waziristan,Baitullah Mehsud,Taliban,,1,1,1,1,0-1,0,1,0-1,,,,,,,Yes,"One killed in strike on Makeen, South Waziristan.",,
20,B17,7/28/08,,Zeralita,South Waziristan,Abu Khabab al-Masri,AQ,,7,10,12,7-12,4 al-Qaeda,1,5,1-5,3,3,3,0,2,0-2,No,"Four named al Qaeda reported killed, along with a woman, three boys and up to seven others. Zeralita, South Waziristan.",B6,
21,B18,8/12/08,,Bhaggar,South Waziristan,Abdul Rehman,Hesb-I-Islami,,12,19,25,12-25,2,0,5,0-5,0,4,4,,,Possibly,,"Up to 25 killed, including two named Taliban. Women and children reported among casualties. Bhagar, South Waziristan.",,
22,B19,8/20/08,1/0/00,Zari Noor,South Waziristan,,Haqqani; al-Qaeda,,6,10,12,6-12,,,,Unknown,5,5,5,,,,Unlikely,"Up to twelve killed in attack on alleged militant house. Zari Noor, South Waziristan.",B14; B21,
23,B20,8/27/08,,Ganki Khel,South Waziristan,,AQ,,0,0,0,0,0,,,0,4,4,4,,,,,"Attack injures four. Ganki Khel, South Waziristan.",,
24,B21,8/30/08,1/0/00,Korzai,South Waziristan,,AQ,Arab-Canadians,4,5,5,4-5,2-5 al-Qaeda,,,,4,4,4,,,,Unlikely,"Five killed including two Arab-Canadians. Korzai, South Waziristan.",B14; B20,
25,B22,8/30/08,,Miram Shah,North Waziristan,,AQ,,6,6,11,6-11,,2,9,2-9,2,8,2-8,1,4,1-4,,"Woman and child killed along with four suspected militants, including two ‘commanders’. Ghundi, North Waziristan.",,
26,B23,9/2/08,,Unknown,North Waziristan,Abu Wafa al-Saudi,AQ,,0,7,10,0-10,4-10,,,,0,1,0-1,,,,,Attack in unknown location kills 4-10 ‘al Qaeda’.,B25,
27,B24,9/4/08,1/0/00,Mohammad Khel,North Waziristan,Abu Wafa al-Saudi,AQ,,5,6,7,5-7,1-5 al-Qaeda,,,,3,4,3-4,,,,,"Named al Qaeda militant killed along with 4-6 others. Momadkhel, North Waziristan.",B24,
28,B25,9/5/08,,Gurwak,North Waziristan,,Haqqani; al-Qaeda,,5,10,12,5-12,5-7,5,7,7,,,,3,4,4,,"Three women and four children killed in attack on two houses in Miranshah, North Waziristan. Five ‘militants’ also reported killed by some sources. Gurwak, North Waziristan.",B27,
29,B26,9/8/08,,Miram Shah,North Waziristan,Jalalludin Haqqani,Haqqani; al-Qaeda,,17,23,23,17-23,4 al-Qaeda,11,20,11-20,14,25,14-25,5,8,5-8,No (possibly tacit by Gilani),"At least 14 civilians, mostly girls, killed with nine others including four named militants. Danda Darpakhel, North Waziristan.",B26,
30,B27,9/12/08,1/0/00,Tol Khel,North Waziristan,Qari Imran,AQ,,12,14,15,12-15,,3,5,3-5,14,14,14,2,2,2,,"12-15 alleged militants killed in Tol Khel, North Waziristan.",,
31,B28,9/17/08,,Baghar Cheena,South Waziristan,,Taliban; al-Qaeda,,4,6,7,4-7,,,,,3,3,3,,,,Yes,"4-7 killed including possible named al Qaeda. Baghar Cheena, South Waziristan.",,
32,B29,9/30/08,1/0/00,Khushali,South Waziristan,,Taliban; al-Qaeda,,4,6,8,4-8,0-8,0,0,0-8,5,9,9,,,,,"4-8 killed, 9 injured in attack on Toorikhel, North Waziristan.",O1,
33,B30,10/3/08,1/0/00,Datta Khel,North Waziristan,,Haqqani,,3,3,3,3,,3,3,3,5,5,5,1,1,1,,"Two women and a child killed in a strike on two houses in Datta Khel, North Waziristan.",B32,
34,B31,10/3/08,1/0/00,Datta Khel,North Waziristan,,al-Badr,,17,19,21,17-21,16,7,14,7-14,,,,3,3,3,,"16-21 killed including a woman and three children. Datta Khel, North Waziristan.",B31,
35,B32,10/9/08,1/0/00,Tati,North Waziristan,Hafiz Sahar Gul,Haqqani,,5,9,9,5-9,,1,9,1-9,2,2,,1,4,1-4,,"Five women and children killed alongside four 'Arabs'. Miram Shah, North Waziristan.",,
36,B33,10/11/08,,Miram Shah,North Waziristan,,Unknown,,4,5,5,4-5,,0,0,0-5,2,2,2,,,,,"The house of Rahmat Jahan is attacked killing five and wounding two. Miram Shah, North Waziristan.",,
37,B34,10/16/08,,Taparghai,South Waziristan,Khalid Habib,AQ,,2,7,9,2-9,1 al-Qaeda leader,0,4,0-4,1,7,1-7,,,,,"Named al Qaeda leader killed along with 4 militants and 4 civilians. Tapargai, South Waziristan.",B18,
38,B35,10/23/08,1/0/00,Danda Darpakhel,North Waziristan,,Haqqani,,8,10,11,8-11,,7,10,0-7,6,11,6-11,7,7,Possibly,Unlikely,"10 killed, possibly including children, in attack on Danda Darpakhel, North Waziristan.",,
39,B36,10/26/08,,Mandata,South Waziristan,Maulvi Nazir,Nazir,,18,20,20,18-20,,0,4,0-4,2,2,2,0,3,0-3,,"Failed strike on Haji Omar kills 20, including at least 4 civilians. Mandata, South Waziristan.",O51,
40,B37,10/31/08,1/0/00,Asori,North Waziristan,Abu Jihad al-Masri; Abdur Rehman abu Akash,AQ,,4,14,25,4-25,1 al-Qaeda,1,20,1-20,0,0,,,,,,"Between 4-24 killed, possibly including civilians, in failed attack on al Qaeda targets. Mir Ali, North Waziristan.",B4; O1,
41,B38,10/31/08,1/0/00,Kari Kot,South Waziristan,Maulvi Nazir,Nazir,,4,12,12,4-12,,1,1,1,2,30,30,,,,,"Up to 12 killed and named Taliban leader wounded in strike on Kari Kot, Wana, South Waziristan.",O1,
42,B39,11/7/08,,Kumsham,North Waziristan,Hafiz Gul Bahadar,Taliban; al-Qaeda,,11,13,16,11-16,,6,11,6-11,17,17,17,,,,No,"Up to 14 killed, including ‘Westerners and US citizens’. Kumsham, Miramshah, North Waziristan.",,
43,B40,11/14/08,,Garyom,North Waziristan,Hakimullah Mehsud; Baitullah Mehsud,Taliban; al-Qaeda,,11,12,13,11-13,0-5,3,12,3-11,2,2,At least 2,,,Yes,Likely,"11-13 killed including at least three civilians. Garyom, North Waziristan.",O58,
44,B41,11/19/08,1/0/00,Jani Khel,Bannu Frontier,Abdullah Azzam al-Saudi,Taliban; al-Qaeda,,3,5,6,3-6,1 al-Qaeda leader,0,3,0-3,7,7,7,,,,Likely,"Named al Qaeda operative killed with up to five others in attack outside FATA which causes uproar.  Jani Khel, Bannu.",B12,
45,B42,11/22/08,1/0/00,Ali Khel,North Waziristan,Zubair al-Masri,Haqqani; al-Qaeda,,4,5,6,4-6,,0,1,,6,6,6,,,,Unlikely,"Two named militants and up to four others killed in Ali Khel, Miranshah, North Waziristan.",,
46,B43,11/27/08,,Wana,South Waziristan,,Taliban,,5,5,5,5,,,,,,,,,,,,"Possible drone strike destroys vehicle killing five alleged Pakistan Taliban.  Wana, South Waziristan.",,
47,B44,11/29/08,,Chashma,North Waziristan,,Unknown,,2,3,3,2-3,,0,3,0-3,2,3,3,,,Possibly,,"Two or three killed, possibly all civilians. Chashma, Miranshah, North Waziristan.",,
48,B45,12/5/08,,Kateera,North Waziristan,,Taliban,,3,4,4,3-4,3-4 Taliban,,,,2,2,2,,,,,"3-4 alleged Taliban killed in Kateera, Mir Ali, North Waziristan.",,
49,B46,12/11/08,,Azam Warsak,South Waziristan,,Taliban; al-Qaeda,,6,7,7,6-7,,0,7,0-7,,,,,,,,"Seven killed, either some ‘foreigners’ or all civilians, Azam Warzak, South Waziristan.",,
50,B47,12/15/08,,Tapi Tool,North Waziristan,,Haqqani,,2,2,3,2-3,,0,3,0-2,3,3,3,,,,Unlikely,"2 killed in  Tapi Tool, Miran Shah, North Waziristan.",,
51,B48,12/22/08,,Kari Kot,South Waziristan,Maulvi Nazir,Nazir,,3,3,3,3,Likely 3 Taliban,,,,5,5,5,,,,,"3 killed in attack on truck in Kari Kot, Wana, South Waziristan.",,
52,B49,12/22/08,,Shin Warsak,South Waziristan,Maulvi Nazir,Nazir,,2,4,4,2-4,,,,,4,4,4,,,,,"4 killed in attack on truck in Shin Warzak, Wana, South Waziristan.",,
53,B50,1/1/09,,Kari Kot,South Waziristan,,al-Qaeda,,3,5,5,3-5,3 al-Qaeda,,,,1,2,2,,,,,"2 named al Qaeda and 3 others killed in strike on vehicle, Kari Kot, Wana, South Waziristan.",,
54,B51,1/2/09,,Madin Village,South Waziristan,Baitullah Mehsud,Taliban,,3,4,4,3-4,,,,,3,5,3,,,,,"4 killed in last strike of Bush presidency.  Madin, South Waziristan.",,
56,Ob1,1/23/09,,Zharki,North Waziristan,Baitullah Mehsud ally,,,7,13,15,7-15,,9,11,9-11,1,1,1,1,1,1,,"7 civilians and 4 or more militants reported killed in strike on house in Zharki, Mir Ali,North Waziristan.",B28; B37,
57,Ob2,1/23/09,1/0/00,Ganki Khel,South Waziristan,Maulvi Nazir,Nazir,,5,8,10,5-10,,5,10,5-8,2,2,2,3,4,3,,"8 members of a family killed including 4 children in strike on wrong house in Dilfar, Wana, South Waziristan.",,
58,Ob3,2/14/09,1/0/00,Narsi Khel,South Waziristan,Baitullah Mehsud,Taliban,,25,31,35,25-35,,1,9,9,11,15,15,1,1,1,Highly likely,"26-35 alleged militants and 8-year old boy killed in strike on house and madrassa in Zangari, South Waziristan.",,
59,Ob4,2/16/09,1/0/00,Sur Pul,Kurram Agency,Bahram Khan Kochi,,,18,31,31,18-31,,0,0,0,3,7,50,,,,,"31 killed, reportedly 7 of them civilians, in strike on camp in Sarpal, Kurram Agency",,
60,Ob5,3/1/09,1/0/00,Sararogha,South Waziristan,Baitullah Mehsud,,,3,12,12,3-12,,,,,1,3,1-3,,,,Yes?,"12 killed in attack on alleged TTP facility in Sararogha, Wana, South Waziristan.",,
61,Ob6,3/12/09,,Barjo,Kurram Agency,Baitullah Mehsud,,,14,20,26,14-26,,,,Unknown,9,50,9-50,,,,,"14-25 killed and 41 injured in attack on TTP camp in Barjo, Kurram Agency.",,
62,Ob7,3/15/09,1/0/00,Jani Khel,Bannu Frontier,Taj Ali Khan,,,2,5,6,2-6,,,,,3,3,3,,,,,"4-5 alleged militants killed in Sain Tanga, Janni Khel, Bannu.",,
63,Ob8,3/25/09,,Makeen,South Waziristan,Baitullah Mehsud,,,6,8,8,6-8,,,,,5,5,5,,,,,"7-8 alleged militants killed in attack on cars and house in Maken, South Waziristan.",,
64,Ob9,3/26/09,,Sokhel,North Waziristan,Abu Kasha,,,4,5,5,4-5,,0,5,0-5,5,5,5,,,,,"4-5 militants or civilians killed in strike on house in Sokhel, Mir Ali, North Waziristan.",,
65,Ob10,4/1/09,,Khadezai,Orakzai Agency,Hakimullah Mehsud,,,10,14,14,10-14,,5,5,5-9,4,16,4-16,3,3,3,,"Women and children among 12-14 killed in strike on house in Khadezai, Orakzai Agency.",,
66,Ob11,4/4/09,1/0/00,Datta Khel,North Waziristan,Tariq Khan,,,13,13,15,13-15,,8,13,7-13,1,1,,3,5,4,,"At least 7 civilians, and possibly all, of 13 killed in strike on house. Dattakhel, Miramshah, North Waziristan.",,
67,Ob12,4/8/09,,Ganki Khel,South Waziristan,Maulvi Nazir,Nazir,,3,4,4,3-4,,,,,2,5,2-5,,,,,"4 alleged militants killed and 5 civilians injured in strike on car and shops, Gangi Khel, Wana, South Waziristan.",,
68,Ob13,4/19/09,,Ganki Khel,South Waziristan,,,,0,8,8,0-8,,0,8,8,3,5,2-5,0,0,,,"Up to 8 civilians possibly including children killed in Gangi Khel, Wana, South Waziristan.",,
69,Ob14,4/29/09,,Kaniguram,South Waziristan,Abu Sulayman al-Jazairi,,,1,8,10,1-10,1 al-Qaeda,0,4,0-4,4,4,4,,,,,"Named al Qaeda leader and 5-9 others, possibly civilians, killed in Kaniguram, Wana, South Waziristan.",B17,
70,Ob15,5/9/09,,Tabbi Langhar Khel,South Waziristan,Baitullah Mehsud,,,6,15,25,6-25,,0,4,Unknown,7,10,7-10,,,,,"9-25 killed, possibly some civilians, in strike in Tabbi Langhar Khel, South Waziristan.",,
71,Ob16,5/12/09,,Sara Khwara,South Waziristan,Baitullah Mehsud,,,5,9,9,5-9,,,,,4,4,4,,,,,"9 alleged militants killed in attack on compound in Sara Khwara, South Waziristan.",,
72,Ob17,5/16/09,1/0/00,Khesoor,North Waziristan,,,,25,33,40,25-40,,9,9,9,2,2,2,,,,,"Up to 40 alleged militants killed in strike on house and rescuers in Kaisore, Miram Shah, North Waziristan.",,
74,Ob18,6/14/09,,Marda Algad,South Waziristan,Baitullah Mehsud,,,3,4,5,3-5,,0,3,0-3,,,,,,,,3-5 alleged militants killed in strike on truck in Ladha South Waziristan.,,
75,Ob19,6/18/09,1/0/00,Wana,South Waziristan,Maulvi Nazir; Malang Wazir,Nazir,,12,13,18,12-18,,4,4,4,10,10,10,,,,,"12-13 killed, including 10 rescuers, in double strike in Shah Alam, Wana, South Waziristan.",,
77,Ob20,6/23/09,,Makeen,South Waziristan,Niaz Wali,,,5,6,6,5-6,,,,,7,7,7,,,,,"Named TTP commander among 7 killed in strike on Makeen, South Waziristan",Ob22,
78,Ob21,6/23/09,,Makeen,South Waziristan,,Pakistan Taliban,,60,75,83,60-83,,18,50,18-50,27,27,27,10,10,10,,"67-83 killed (including 18-45 civilians) in strike on funeral in Makeen, South Waziristan.",,
79,Ob22,7/3/09,,Mantoi,South Waziristan,,Pakistan Taliban,,0,3,5,0-5,,0,5,0-5,,,,,,,,"An attack on a closed madrassa ‘occasionally used by the TTP’ killed either three, five or no people. Mantoi, South Waziristan.",,
80,Ob23,7/3/09,,Zamarai Nairai,South Waziristan,,Pakistan Taliban,,10,15,17,10-17,,,,,27,35,27-35,,,,,"13-17 alleged militants killed and 27-35 injured in strike on compound in Kokat Khel, South Waziristan.",,
81,Ob24,7/7/09,,Makeen,South Waziristan,,Pakistan Taliban,,14,16,18,14-18,,,,,10,10,10,,,,,"16 alleged militants killed in strike on compound in Jangara, Makeen, South Waziristan.",,
82,Ob25,7/8/09,,Ladha,South Waziristan,,Pakistan Taliban,,8,9,10,8-10,,,,,5,12,12,,,,,"8-10 alleged TTP militants killed in strike on camp in Laddha, Karwan Manza South Waziristan.",,
83,Ob26,7/8/09,,Ladha,South Waziristan,,Pakistan Taliban,,35,38,40,35-40,,,,,1,1,'Some',,,,,"35-40 alleged militants killed when convoy destroyed in  Laddha, Karwan Manza, South Waziristan.",,
84,Ob27,7/10/09,,Painda Khel,South Waziristan,,Pakistan Taliban,,3,4,5,3-5,,,,,3,3,3,,,,,"3-5 alleged militants killed in strike on ‘communications centre’ in Painda, South Waziristan.",,
86,Ob28,7/17/09,,Gariwam,North Waziristan,,,,5,6,6,5-6,,,,,4,6,4,,,,,"5-6 alleged TTP militants killed in strike on house in Gariwam, North Waziristan.",,
87,Ob29,8/5/09,,Ladha,South Waziristan,Baitullah Mehsud,,,1,12,12,1-12,,1,4,0-4,5,5,5,,,,,"Named TTP leader dies with 11 others, including civilians, in strike on Zanghara, South Waziristan.",,
88,Ob30,8/11/09,,Ladha,South Waziristan,,,,12,20,25,12-25,,0,6,0-6,5,7,5,4,4,4,,"14-25 killed in strike on ‘Taliban suicide bomber training camp’ in  Saam, near Ladha, South Waziristan.",,
89,Ob31,8/21/09,1/0/00,Danda Darpakhel,North Waziristan,,Haqqani,,17,21,21,17-21,,9,13,9-21,2,2,At least 2,6,6,6,,"At least 9 civilians including 6 children among 21 killed in strike on houses and madrassa in Danda Darpakhel, North Waziristan.",,
90,Ob32,8/27/09,,Taparghai,South Waziristan,,,,8,8,10,8-10,,,,,6,9,6,,,,,"Named militant leader killed with 7 others in strike on house in Tapar Ghai, Kanigram, South Waziristan.",,
91,Ob33,9/7/09,,Machi Khel,North Waziristan,,,,5,7,8,5-8,,3,3,3,2,7,2-7,,,,,"3 civilians among 13-15 killed in failed strike on senior al Qaeda leader, Machi Khel, Mir Ali, North Waziristan.",Ob218,
92,Ob34,9/8/09,,Darga Mandi,North Waziristan,,,,10,13,15,10-15,,5,5,5,4,5,4-5,3,3,3,,"10-15 killed including 5 civilians in strike on house in Dargmandi, Miram Shah, North Waziristan.",,
93,Ob35,9/14/09,,Toorikhel,North Waziristan,,,,5,5,5,5,,,,,2,3,2,,,,,"5 killed including named militant leader in strike on vehicle in  Toori Khel, North Waziristan.",,
94,Ob36,9/24/09,,Mir Ali,North Waziristan,,,,10,11,12,10-12,,0,12,Unknown,5,5,5,,,,,"Strike kills 10-12, possibly including civilians, in Mir Ali, North Waziristan.",,
95,Ob37,9/29/09,1/0/00,Sararogha,South Waziristan,,,,5,6,6,5-6,,,,,2,6,2-6,,,,,"6 alleged militants killed in strike on house in Sararogha, South Waziristan.",,
96,Ob38,9/29/09,1/0/00,Danda Darpakhel,North Waziristan,,Haqqani,,4,7,9,4-9,,0,4,,2,6,6,,,,,"7 alleged Haqqani militants killed in strike on house in Danda Darpakhel, North Waziristan.",,
97,Ob39,9/30/09,,Norak,North Waziristan,,Taliban,,6,9,9,6-9,,,,,2,5,2-5,,,,,"8-9 alleged militants killed in strike on cars and house in Norak, Miransha, North Waziristan.",,
98,Ob40,10/15/09,,Danda Darpakhel,North Waziristan,,Haqqani,,3,4,4,3-4,,,,,7,7,7,,,,,"4 alleged militants killed in strike on house in Danda Darpakhel, North Waziristan.",,
99,Ob41,10/21/09,,Spalaga,North Waziristan,,,,3,3,3,3,,,,,8,8,8,,,,,"Named al Qaeda militant and 2 others killed in strike in Spalaga, North Waziristan.",,
100,Ob42,10/24/09,,Damadola,Bajaur Agency,,Pakistan Taliban,,20,25,30,20-30,,,,,8,8,8,,,,,"22-27 alleged militants killed in strike on compound in Damadola, Bajaur Agency.",,
101,Ob43,11/5/09,1/0/00,Norak,North Waziristan,,,,4,5,6,4-6,,,,,8,8,8,,,,,"4-6 alleged militants killed in strike on house in Norak, Mir Ali, North Waziristan.",,
102,Ob44,11/18/09,,Shanakorah,North Waziristan,,,,3,5,6,3-6,,,,,2,15,5,,,,,"4-6 alleged militants killed in strike on house in Shanakhora, Miranshah, North Waziristan.",,
103,Ob45,11/20/09,,Machi Khel,North Waziristan,,,,3,9,14,3-10,,3,3,3,2,12,2-12,1,1,1,,"8-10 alleged militants killed in strike on ‘training compound’ in Machi Khel, North Waziristan.",Ob52,
104,Ob46,12/8/09,,Spalaga,North Waziristan,,,,3,4,4,4,,,,,3,3,3,,,,,"Named al Qaeda leader among 4 killed in strike on car in Miran Shah, North Waziristan.",,
105,Ob48,12/17/09,1/0/00,Datta Khel,North Waziristan,,al-Qaeda,,2,4,2,2,,,,,,,Unknown,,,,,"2 alleged militants killed in car in Gadda Maramay, Datta Khel, North Waziristan.",,
106,Ob49,12/17/09,,Ambar Shaga,North Waziristan,,,,12,14,16,12-16,1-6 al-Qaeda,6,6,6,,,Unknown,,,,,"2 named al Qaeda commanders among 13-15 alleged militants killed in Amboor Shagal, North Waziristan.",,
107,Ob50,12/18/09,,Babrak Ziarat,North Waziristan,,,,5,6,8,5-8,,5,5,5,4,5,5,,,,,"3-8 killed at funeral prayers for victims of Ob49, Wazgai, Datta Khel, North Waziristan.",,
108,Ob51,12/26/09,,Saidgai,North Waziristan,,,,13,14,20,14-20,,6,6,6,12,12,12,,,,,"14 Taliban killed and 12 injured in strike on house in Saigdai, North Waziristan.",,
109,Ob52,12/31/09,1/0/00,Machi Khel,North Waziristan,,,,3,7,7,3-7,,3,3,3,2,2,2,1,1,1,,"7 killed including 3 civilians and a named militant leader in Mir Ali, North Waziristan.",B37,
110,Ob102,7/15/10,1/0/00,Sheerani,North Waziristan,,,,9,12,14,10-14,,0,7,4-7,3,3,Unknown,,,,,"10-14 killed, including up to 7 civilians, in attack on house in Sheerani, North Waziristan",,
112,Ob103,7/24/10,,Dwasarak,South Waziristan,,,,16,17,18,16-18,,,,Unknown,24,24,At least 24,,,,,"16-18 alleged militants killed in attack on compound in Dwasarak, South Waziristan.",,
113,Ob104,7/25/10,,Shaktoi,North Waziristan,,Pakistan Taliban,,14,14,32,14,,,,,7,12,7,,,,,"14 alleged militants killed in Shaktoi, South Waziristan.",,
114,Ob105,7/25/10,1/0/00,Tabbi,North Waziristan,,,,4,6,12,4-7,,,,,2,4,2-4,,,,,"Attack kills 4-7 alleged Haqqani militants in Tabbi, North Waziristan.",,
115,Ob106,7/25/10,,Sararogha,South Waziristan,,,,4,4,4,4,,,,,5,5,5,,,,,"4 alleged TTP militants killed in Landikhel, South Waziristan.",,
