critic,fresh,imdb,publication,quote,review_date,rtid,title
Derek Adams,fresh,114709.0,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04,9559.0,Toy story
Richard Corliss,fresh,114709.0,TIME Magazine,The year's most inventive comedy.,2008-08-31,9559.0,Toy story
David Ansen,fresh,114709.0,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18,9559.0,Toy story
Leonard Klady,fresh,114709.0,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09,9559.0,Toy story
Jonathan Rosenbaum,fresh,114709.0,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10,9559.0,Toy story
Michael Booth,fresh,114709.0,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03,9559.0,Toy story
Geoff Andrew,fresh,114709.0,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24,9559.0,Toy story
Janet Maslin,fresh,114709.0,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20,9559.0,Toy story
Kenneth Turan,fresh,114709.0,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13,9559.0,Toy story
Susan Wloszczyna,fresh,114709.0,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",2000-01-01,9559.0,Toy story
Roger Ebert,fresh,114709.0,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,2000-01-01,9559.0,Toy story
John Hartl,fresh,114709.0,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",2000-01-01,9559.0,Toy story
Susan Stark,fresh,114709.0,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01,9559.0,Toy story
Peter Stack,fresh,114709.0,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01,9559.0,Toy story
James Berardinelli,fresh,114709.0,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,2000-01-01,9559.0,Toy story
Sean Means,fresh,114709.0,Film.com,"Technically, Toy Story is nearly flawless.",2000-01-01,9559.0,Toy story
Rita Kempley,fresh,114709.0,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01,9559.0,Toy story
,fresh,114709.0,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,9559.0,Toy story
Roger Moore,fresh,114709.0,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,9559.0,Toy story
Roger Ebert,rotten,113497.0,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01,12436.0,Jumanji
,fresh,113497.0,USA Today,A calculated but very entertaining special effects extravaganza.,2000-01-01,12436.0,Jumanji
Richard Schickel,fresh,107050.0,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24,10498.0,Grumpy Old Men
Derek Adams,rotten,107050.0,Time Out,"Mediocre, regrettably.",2006-06-24,10498.0,Grumpy Old Men
Caryn James,fresh,107050.0,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20,10498.0,Grumpy Old Men
James Berardinelli,fresh,107050.0,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01,10498.0,Grumpy Old Men
Roger Ebert,rotten,107050.0,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01,10498.0,Grumpy Old Men
Desson Thomson,fresh,107050.0,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01,10498.0,Grumpy Old Men
Liam Lacey,rotten,114885.0,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12,16697.0,Waiting to Exhale
Kenneth Turan,fresh,114885.0,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13,16697.0,Waiting to Exhale
Edward Guthmann,rotten,114885.0,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01,16697.0,Waiting to Exhale
Desson Thomson,fresh,114885.0,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01,16697.0,Waiting to Exhale
Joan Walsh,rotten,114885.0,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01,16697.0,Waiting to Exhale
Susan Wloszczyna,fresh,114885.0,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01,16697.0,Waiting to Exhale
