serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.305682465,57,0,5710.0,8000.0,8,0,3,0,0.0,8000.0
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,9000.0
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,7203.0
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,8723.0
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,6200.0
0,0.304490668,52,0,0.8083404740000002,3500.0,10,0,2,0,0.0,4250.0
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,6250.0
0,7.959999999999997e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,6300.0
0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0,8723.0
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,0.0
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,3000.0
0,0.401199782,64,0,0.35125893700000005,3216.0,4,0,1,0,0.0,0.0
0,0.027399502000000003,69,0,0.008034279999999996,5600.0,3,0,0,0,0.0,2206.0
0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0,4830.0
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0,11105.0
0,0.142013011,67,0,1824.0,9000.0,7,0,2,0,0.0,9000.0
0,0.12229593300000001,29,0,0.694646949,4800.0,5,0,1,0,0.0,5000.0
0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,9891.0
0,0.017258976999999998,53,0,2.604510673,12414.0,13,0,1,0,2.0,5833.0
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,9000.0
0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0,3614.0
0,0.363199686,32,0,0.4805239570000001,2900.0,4,0,1,0,0.0,0.0
0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0.0,8723.0
0,0.6354151570000001,32,0,0.519493502,3000.0,4,0,1,0,1.0,0.0
0,0.041257909,61,0,4739.0,4425.0,11,0,4,0,0.0,4425.0
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0,4250.0
0,0.00750765,74,0,7.0,6250.0,4,0,0,0,0.0,6250.0
0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,5989.0
0,0.007520591999999999,68,0,269.0,6250.0,4,0,0,0,0.0,6250.0
0,0.31797579600000003,34,0,0.297933792,4500.0,11,0,2,0,0.0,9891.0
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0,3913.0
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0,5000.0
0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,9000.0
0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0.0,23750.0
0,0.17572759300000002,43,1,994.0,0.0,4,0,1,0,0.0,0.0
0,0.047311582000000005,51,0,0.10092034300000001,3150.0,5,0,0,0,0.0,3717.0
0,0.08388000299999998,53,0,0.199647533,7943.0,8,0,1,0,0.0,8333.0
0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0,4300.0
