Date,Time,Price,Volume,Exchange Code,Sales Condition,Correction Indicator,Sequence Number,Trade Stop Indicator,Source of Trade,MDS 127 / TRF (Trade Reporting Facility) (*),Exclude Record Flag,Filtered Price
11/01/2011,08:04:56.364,104.55,100,P,T,00,196,N,C,,,
11/01/2011,08:53:07.459,104.43,150,T,FT,00,316,N,C,,,
11/01/2011,08:53:09.284,104.43,100,T,FT,00,317,N,C,,,
11/01/2011,08:54:03.921,104.5,100,P,FT,00,318,N,C,,,
11/01/2011,08:58:06.162,104.46,1000,Z,T,00,322,N,C,,,
11/01/2011,08:58:06.162,104.46,1000,T,T,00,323,N,C,,,
11/01/2011,08:58:06.162,104.46,1000,P,T,00,324,N,C,,,
11/01/2011,08:58:06.164,104.46,1000,J,T,00,325,N,C,,,
11/01/2011,08:58:06.164,104.46,1000,K,T,00,326,N,C,,,
11/01/2011,09:28:59.153,104.17,100,B,FT,00,462,N,C,,,
11/01/2011,09:29:53.651,103.3008,426,D,T,00,560,N,C,T,,
11/01/2011,09:30:00.278,104.23,586,T,O X,00,674,N,C,,,
11/01/2011,09:30:00.278,104.23,586,T,Q,00,675,N,C,,X,
11/01/2011,09:30:00.384,104.23,132,P,O,00,703,N,C,,,
11/01/2011,09:30:00.384,104.23,103,P,O,00,704,N,C,,,
11/01/2011,09:30:00.384,104.23,685,P,O,00,705,N,C,,,
11/01/2011,09:30:00.384,104.23,146,P,O,00,706,N,C,,,
11/01/2011,09:30:00.384,104.23,111,P,O,00,707,N,C,,,
11/01/2011,09:30:00.384,104.23,147,P,O,00,708,N,C,,,
11/01/2011,09:30:00.384,104.23,180,P,O,00,709,N,C,,,
11/01/2011,09:30:00.384,104.23,100,P,O,00,710,N,C,,,
11/01/2011,09:30:00.384,104.23,125,P,O,00,711,N,C,,,
11/01/2011,09:30:00.384,104.23,730,P,O,00,712,N,C,,,
11/01/2011,09:30:00.384,104.23,1263,P,O,00,713,N,C,,,
11/01/2011,09:30:00.386,104.23,1720,P,O,00,714,N,C,,,
11/01/2011,09:30:00.386,104.23,144,P,O,00,715,N,C,,,
11/01/2011,09:30:00.386,104.23,400,P,O,00,716,N,C,,,
11/01/2011,09:30:00.386,104.23,540,P,O,00,717,N,C,,,
11/01/2011,09:30:00.386,104.23,316,P,O,00,718,N,C,,,
11/01/2011,09:30:00.386,104.23,158,P,O,00,719,N,C,,,
11/01/2011,09:30:00.386,104.23,113,P,O,00,720,N,C,,,
11/01/2011,09:30:00.386,104.23,238,P,O,00,721,N,C,,,
11/01/2011,09:30:00.386,104.23,296,P,O,00,723,N,C,,,
11/01/2011,09:30:00.386,104.23,631,P,O,00,724,N,C,,,
11/01/2011,09:30:00.386,104.23,342,P,O,00,725,N,C,,,
11/01/2011,09:30:00.386,104.23,151,P,O,00,726,N,C,,,
11/01/2011,09:30:00.386,104.23,173,P,O,00,727,N,C,,,
11/01/2011,09:30:00.386,104.23,166,P,O,00,728,N,C,,,
11/01/2011,09:30:00.386,104.23,117,P,O,00,729,N,C,,,
11/01/2011,09:30:00.386,104.23,469,P,O,00,730,N,C,,,
11/01/2011,09:30:00.386,104.23,109,P,O,00,731,N,C,,,
11/01/2011,09:30:00.388,104.23,106,P,O,00,732,N,C,,,
11/01/2011,09:30:00.388,104.23,318,P,O,00,733,N,C,,,
11/01/2011,09:30:00.388,104.23,169,P,O,00,734,N,C,,,
11/01/2011,09:30:00.388,104.23,236,P,O,00,735,N,C,,,
11/01/2011,09:30:00.388,104.23,376,P,O,00,736,N,C,,,
11/01/2011,09:30:00.388,104.23,190,P,O,00,737,N,C,,,
11/01/2011,09:30:00.388,104.23,197,P,O,00,738,N,C,,,
11/01/2011,09:30:00.388,104.23,154,P,O,00,739,N,C,,,
11/01/2011,09:30:00.388,104.23,108,P,O,00,740,N,C,,,
11/01/2011,09:30:00.388,104.23,122,P,O,00,741,N,C,,,
11/01/2011,09:30:00.388,104.23,128,P,O,00,742,N,C,,,
11/01/2011,09:30:00.388,104.23,147,P,O,00,743,N,C,,,
11/01/2011,09:30:00.388,104.23,120,P,O,00,744,N,C,,,
11/01/2011,09:30:00.388,104.23,170,P,O,00,745,N,C,,,
11/01/2011,09:30:00.388,104.23,183,P,O,00,746,N,C,,,
11/01/2011,09:30:00.388,104.23,104,P,O,00,747,N,C,,,
11/01/2011,09:30:00.388,104.23,265,P,O,00,748,N,C,,,
11/01/2011,09:30:00.390,104.23,186,P,O,00,749,N,C,,,
11/01/2011,09:30:00.390,104.23,118,P,O,00,750,N,C,,,
11/01/2011,09:30:00.390,104.23,156,P,O,00,751,N,C,,,
11/01/2011,09:30:00.390,104.23,140,P,O,00,752,N,C,,,
11/01/2011,09:30:00.390,104.23,189,P,O,00,753,N,C,,,
11/01/2011,09:30:00.390,104.23,391,P,O,00,754,N,C,,,
11/01/2011,09:30:00.390,104.23,141,P,O,00,755,N,C,,,
11/01/2011,09:30:00.390,104.23,188,P,O,00,756,N,C,,,
11/01/2011,09:30:00.390,104.23,181,P,O,00,757,N,C,,,
11/01/2011,09:30:00.390,104.23,300,P,O,00,758,N,C,,,
11/01/2011,09:30:00.390,104.23,100,P,O,00,759,N,C,,,
11/01/2011,09:30:00.390,104.23,480,P,O,00,761,N,C,,,
11/01/2011,09:30:00.390,104.23,20339,P,Q,00,762,N,C,,X,
11/01/2011,09:30:00.642,104.22,300,D,@,00,1517,N,C,T,,
11/01/2011,09:30:00.722,104.26,100,Y,F,00,1546,N,C,,,
11/01/2011,09:30:01.654,104.27,100,T,@,00,1687,N,C,,,
11/01/2011,09:30:01.656,104.27,100,B,F,00,1688,N,C,,,
11/01/2011,09:30:01.656,104.26,100,B,F,00,1689,N,C,,,
11/01/2011,09:30:01.656,104.26,100,Z,@,00,1690,N,C,,,
11/01/2011,09:30:01.656,104.27,100,K,@,00,1691,N,C,,,
11/01/2011,09:30:01.876,104.255,100,D,@,00,1711,N,C,N,,
11/01/2011,09:30:02.748,104.26,300,D,@,00,1785,N,C,T,,
11/01/2011,09:30:03.346,104.25,100,P,F,00,1827,N,C,,,
11/01/2011,09:30:03.346,104.25,100,P,@,00,1828,N,C,,,
11/01/2011,09:30:03.346,104.25,100,Z,@,00,1829,N,C,,,
11/01/2011,09:30:03.748,104.23,146,D,4,00,1860,N,C,T,,
11/01/2011,09:30:05.999,104.23,100,T,@,00,2012,N,C,,,
11/01/2011,09:30:05.999,104.23,100,T,@,00,2013,N,C,,,
11/01/2011,09:30:05.999,104.23,100,T,@,00,2014,N,C,,,
11/01/2011,09:30:06.001,104.23,100,Z,@,00,2015,N,C,,,
11/01/2011,09:30:06.031,104.24,100,D,@,00,2017,N,C,N,,
11/01/2011,09:30:06.033,104.24,100,D,@,00,2018,N,C,N,,
11/01/2011,09:30:19.309,104.23,100,T,@,00,2272,N,C,,,
11/01/2011,09:30:19.309,104.23,100,T,@,00,2273,N,C,,,
11/01/2011,09:30:19.309,104.23,100,P,F,00,2274,N,C,,,
11/01/2011,09:30:21.917,104.23,1000,T,@,00,2418,N,C,,,
11/01/2011,09:30:21.917,104.23,1000,P,@,00,2419,N,C,,,
11/01/2011,09:30:21.917,104.23,100,P,F,00,2420,N,C,,,
11/01/2011,09:30:22.083,104.23,100,T,@,00,2422,N,C,,,
11/01/2011,09:30:22.083,104.23,100,P,@,00,2423,N,C,,,
11/01/2011,09:30:22.451,104.24,300,P,@,00,2430,N,C,,,
11/01/2011,09:30:23.089,104.23,100,P,@,00,2433,N,C,,,
11/01/2011,09:30:23.107,104.24,100,D,F,00,2434,N,C,T,,
11/01/2011,09:30:23.109,104.24,300,Z,F,00,2435,N,C,,,
11/01/2011,09:30:23.151,104.24,100,P,@,00,2436,N,C,,,
11/01/2011,09:30:23.673,104.235,100,T,@,00,2446,N,C,,,
11/01/2011,09:30:23.673,104.23,100,T,@,00,2447,N,C,,,
11/01/2011,09:30:24.667,104.23,200,T,@,00,2468,N,C,,,
11/01/2011,09:30:24.667,104.23,600,T,@,00,2469,N,C,,,
11/01/2011,09:30:24.677,104.23,100,Y,@,00,2470,N,C,,,
11/01/2011,09:30:24.679,104.23,100,J,@,00,2471,N,C,,,
11/01/2011,09:30:26.084,104.23,500,P,@,00,2491,N,C,,,
11/01/2011,09:30:33.911,104.25,100,Z,F,00,2624,N,C,,,
11/01/2011,09:30:33.911,104.25,700,Z,F,00,2625,N,C,,,
11/01/2011,09:31:02.859,104.26,100,P,@,00,3024,N,C,,,
11/01/2011,09:31:02.893,104.26,100,P,@,00,3025,N,C,,,
11/01/2011,09:31:02.893,104.26,100,P,@,00,3026,N,C,,,
11/01/2011,09:31:02.893,104.26,100,J,F,00,3027,N,C,,,
11/01/2011,09:31:02.905,104.25,100,T,@,00,3028,N,C,,,
11/01/2011,09:31:02.905,104.25,100,P,F,00,3029,N,C,,,
11/01/2011,09:31:02.907,104.25,100,Z,@,00,3030,N,C,,,
11/01/2011,09:31:02.909,104.25,100,Z,@,00,3031,N,C,,,
11/01/2011,09:31:02.909,104.25,100,K,@,00,3032,N,C,,,
11/01/2011,09:31:03.418,104.25,100,P,F,00,3057,N,C,,,
11/01/2011,09:31:03.420,104.25,100,Z,@,00,3058,N,C,,,
11/01/2011,09:31:06.442,104.25,100,P,F,00,3105,N,C,,,
11/01/2011,09:31:06.442,104.25,100,T,@,00,3106,N,C,,,
11/01/2011,09:31:06.442,104.25,100,Z,@,00,3107,N,C,,,
11/01/2011,09:31:08.759,104.26,400,T,@,00,3133,N,C,,,
11/01/2011,09:31:16.222,104.24,100,T,F,00,3282,N,C,,,
11/01/2011,09:31:16.224,104.23,100,T,F,00,3283,N,C,,,
11/01/2011,09:31:16.224,104.23,100,Z,F,00,3284,N,C,,,
11/01/2011,09:31:16.224,104.23,100,P,F,00,3285,N,C,,,
11/01/2011,09:31:16.226,104.23,100,K,F,00,3286,N,C,,,
11/01/2011,09:31:16.228,104.23,100,Z,F,00,3287,N,C,,,
11/01/2011,09:31:16.232,104.23,100,Z,F,00,3288,N,C,,,
11/01/2011,09:31:16.234,104.22,100,Z,F,00,3289,N,C,,,
11/01/2011,09:31:16.234,104.22,170,Z,F,00,3290,N,C,,,
11/01/2011,09:31:16.236,104.22,2000,J,F,00,3291,N,C,,,
11/01/2011,09:31:16.238,104.23,100,T,@,00,3292,N,C,,,
11/01/2011,09:31:25.006,104.24,100,P,F,00,3345,N,C,,,
11/01/2011,09:31:25.839,104.25,300,Z,F,00,3390,N,C,,,
11/01/2011,09:31:28.535,104.25,444,Z,F,00,3416,N,C,,,
11/01/2011,09:31:35.041,104.25,200,Z,F,00,3458,N,C,,,
11/01/2011,09:31:35.827,104.22,200,Z,@,00,3483,N,C,,,
11/01/2011,09:31:43.688,104.25,100,Z,F,00,3593,N,C,,,
11/01/2011,09:31:52.402,104.234,500,D,@,00,3637,N,C,T,,
11/01/2011,09:31:59.664,104.24,100,Z,F,00,3666,N,C,,,
11/01/2011,09:31:59.664,104.24,100,Z,F,00,3667,N,C,,,
11/01/2011,09:32:01.119,104.21,100,P,@,00,3682,N,C,,,
11/01/2011,09:32:01.121,104.21,200,T,@,00,3683,N,C,,,
11/01/2011,09:32:01.121,104.21,100,T,@,00,3684,N,C,,,
11/01/2011,09:32:04.344,104.21,600,T,@,00,3717,N,C,,,
11/01/2011,09:32:04.344,104.21,200,T,@,00,3718,N,C,,,
11/01/2011,09:33:00.095,104.22,100,D,@,00,4307,N,C,T,,
11/01/2011,09:33:07.844,104.22,100,D,@,00,4334,N,C,T,,
11/01/2011,09:33:40.378,104.19,100,Z,@,00,4666,N,C,,,
11/01/2011,09:33:40.378,104.19,100,P,F,00,4667,N,C,,,
11/01/2011,09:33:40.378,104.19,100,K,@,00,4668,N,C,,,
11/01/2011,09:33:40.378,104.19,100,J,@,00,4669,N,C,,,
11/01/2011,09:33:40.380,104.19,100,T,@,00,4670,N,C,,,
11/01/2011,09:33:40.380,104.19,100,P,F,00,4671,N,C,,,
11/01/2011,09:33:40.380,104.19,200,P,@,00,4672,N,C,,,
11/01/2011,09:33:40.486,104.19,100,P,@,00,4674,N,C,,,
11/01/2011,09:33:40.486,104.19,100,Z,@,00,4675,N,C,,,
11/01/2011,09:33:41.369,104.18,300,P,@,00,4682,N,C,,,
11/01/2011,09:33:41.369,104.18,100,T,@,00,4683,N,C,,,
11/01/2011,09:33:41.369,104.18,500,Z,@,00,4684,N,C,,,
11/01/2011,09:33:41.369,104.18,200,T,@,00,4685,N,C,,,
11/01/2011,09:33:41.371,104.18,300,K,@,00,4686,N,C,,,
11/01/2011,09:33:41.371,104.18,700,J,@,00,4687,N,C,,,
11/01/2011,09:33:41.419,104.18,100,D,@,00,4688,N,C,T,,
11/01/2011,09:33:41.419,104.18,100,D,@,00,4689,N,C,T,,
11/01/2011,09:33:41.419,104.18,100,D,@,00,4690,N,C,T,,
11/01/2011,09:33:42.520,104.19,100,P,@,00,4711,N,C,,,
11/01/2011,09:33:42.520,104.19,100,Z,@,00,4712,N,C,,,
11/01/2011,09:33:43.368,104.18,300,T,@,00,4724,N,C,,,
11/01/2011,09:33:43.370,104.18,100,P,F,00,4725,N,C,,,
11/01/2011,09:33:43.370,104.18,100,P,@,00,4726,N,C,,,
11/01/2011,09:33:43.370,104.19,100,T,F,00,4727,N,C,,,
11/01/2011,09:33:43.370,104.18,100,J,@,00,4728,N,C,,,
11/01/2011,09:33:43.380,104.18,800,T,@,00,4729,N,C,,,
11/01/2011,09:33:43.380,104.18,700,P,@,00,4730,N,C,,,
11/01/2011,09:33:43.380,104.18,1800,J,@,00,4731,N,C,,,
11/01/2011,09:33:43.380,104.18,800,K,@,00,4732,N,C,,,
11/01/2011,09:33:43.380,104.18,100,D,@,00,4733,N,C,T,,
11/01/2011,09:33:45.367,104.18,200,Z,@,00,4761,N,C,,,
11/01/2011,09:33:46.383,104.17,500,Z,@,00,4785,N,C,,,
11/01/2011,09:33:46.383,104.17,1200,P,@,00,4786,N,C,,,
11/01/2011,09:33:46.383,104.17,300,T,@,00,4787,N,C,,,
11/01/2011,09:33:46.383,104.17,700,J,@,00,4788,N,C,,,
11/01/2011,09:33:46.383,104.17,300,K,@,00,4789,N,C,,,
11/01/2011,09:33:46.393,104.17,100,D,@,00,4790,N,C,T,,
11/01/2011,09:33:46.393,104.17,100,D,@,00,4791,N,C,T,,
11/01/2011,09:33:46.393,104.17,100,J,@,00,4792,N,C,,,
11/01/2011,09:33:46.415,104.17,100,D,@,00,4793,N,C,T,,
11/01/2011,09:33:46.479,104.2,100,Y,F,00,4794,N,C,,,
11/01/2011,09:33:46.495,104.2,100,J,F,00,4795,N,C,,,
11/01/2011,09:33:47.613,104.2,100,T,@,00,4816,N,C,,,
11/01/2011,09:33:48.367,104.19,100,P,@,00,4841,N,C,,,
11/01/2011,09:33:48.367,104.19,100,T,@,00,4842,N,C,,,
11/01/2011,09:33:49.319,104.19,100,J,F,00,4876,N,C,,,
11/01/2011,09:33:50.366,104.19,300,T,@,00,4877,N,C,,,
11/01/2011,09:33:52.415,104.2,100,J,F,00,4914,N,C,,,
11/01/2011,09:33:52.449,104.2,100,T,F,00,4915,N,C,,,
11/01/2011,09:33:52.449,104.2,100,T,F,00,4916,N,C,,,
11/01/2011,09:33:52.647,104.21,100,Z,F,00,4917,N,C,,,
11/01/2011,09:33:54.443,104.21,100,Z,F,00,4930,N,C,,,
11/01/2011,09:33:54.445,104.21,100,Y,F,00,4931,N,C,,,
11/01/2011,09:33:54.459,104.21,100,J,F,00,4933,N,C,,,
11/01/2011,09:33:54.459,104.21,100,B,F,00,4934,N,C,,,
11/01/2011,09:33:54.461,104.21,100,K,F,00,4935,N,C,,,
11/01/2011,09:33:57.505,104.2,200,T,@,00,4974,N,C,,,
11/01/2011,09:33:57.507,104.2,100,K,@,00,4975,N,C,,,
11/01/2011,09:33:57.599,104.21,100,B,F,00,4977,N,C,,,
11/01/2011,09:33:57.641,104.21,100,T,F,00,4978,N,C,,,
11/01/2011,09:33:59.740,104.21,300,Z,F,00,4985,N,C,,,
11/01/2011,09:34:01.299,104.21,100,D,@,00,5016,N,C,T,,
11/01/2011,09:34:01.299,104.21,100,D,@,00,5017,N,C,T,,
11/01/2011,09:34:01.347,104.21,115,D,@,00,5018,N,C,T,,
11/01/2011,09:34:05.695,104.21,500,Z,F,00,5074,N,C,,,
11/01/2011,09:34:08.978,104.21,500,Z,F,00,5106,N,C,,,
11/01/2011,09:34:10.430,104.21,200,Z,F,00,5108,N,C,,,
11/01/2011,09:34:13.074,104.2,100,T,@,00,5137,N,C,,,
11/01/2011,09:34:18.446,104.2,100,T,@,00,5176,N,C,,,
11/01/2011,09:34:18.500,104.19,100,J,@,00,5177,N,C,,,
11/01/2011,09:34:24.262,104.18,100,B,F,00,5235,N,C,,,
11/01/2011,09:34:24.262,104.18,100,T,F,00,5236,N,C,,,
11/01/2011,09:34:24.262,104.18,100,T,F,00,5237,N,C,,,
11/01/2011,09:34:24.264,104.18,100,Z,F,00,5238,N,C,,,
11/01/2011,09:34:24.264,104.18,100,P,F,00,5239,N,C,,,
11/01/2011,09:34:24.264,104.18,100,P,F,00,5240,N,C,,,
11/01/2011,09:34:24.264,104.18,100,P,F,00,5241,N,C,,,
11/01/2011,09:34:24.266,104.18,100,J,F,00,5242,N,C,,,
11/01/2011,09:34:24.266,104.18,100,K,F,00,5243,N,C,,,
11/01/2011,09:34:24.266,104.18,100,Z,F,00,5244,N,C,,,
11/01/2011,09:34:24.268,104.18,100,J,F,00,5245,N,C,,,
11/01/2011,09:34:24.268,104.18,200,Z,F,00,5246,N,C,,,
11/01/2011,09:34:24.270,104.18,100,Z,F,00,5247,N,C,,,
11/01/2011,09:34:24.420,104.18,100,D,@,00,5248,N,C,T,,
11/01/2011,09:34:24.420,104.18,100,D,@,00,5249,N,C,T,,
11/01/2011,09:34:24.448,104.18,100,D,@,00,5250,N,C,T,,
11/01/2011,09:34:24.476,104.2,100,J,F,00,5251,N,C,,,
11/01/2011,09:34:24.484,104.19,100,D,@,00,5252,N,C,T,,
11/01/2011,09:34:24.504,104.19,100,D,@,00,5253,N,C,T,,
11/01/2011,09:34:24.520,104.1801,300,D,@,00,5254,N,C,T,,
11/01/2011,09:34:24.632,104.22,100,Y,@,00,5255,N,C,,,
11/01/2011,09:34:29.123,104.22,100,Y,@,00,5277,N,C,,,
11/01/2011,09:34:29.125,104.22,100,B,@,00,5278,N,C,,,
11/01/2011,09:34:29.135,104.22,100,P,F,00,5279,N,C,,,
11/01/2011,09:34:29.137,104.22,100,P,F,00,5280,N,C,,,
11/01/2011,09:34:29.139,104.22,100,K,F,00,5281,N,C,,,
11/01/2011,09:34:29.141,104.22,100,Z,F,00,5282,N,C,,,
11/01/2011,09:34:29.143,104.22,100,Z,F,00,5283,N,C,,,
11/01/2011,09:34:29.145,104.22,100,Z,@,00,5284,N,C,,,
11/01/2011,09:34:29.149,104.22,100,D,@,00,5285,N,C,T,,
11/01/2011,09:34:29.191,104.22,100,D,@,00,5286,N,C,T,,
11/01/2011,09:34:29.307,104.23,100,Y,@,00,5287,N,C,,,
11/01/2011,09:34:29.309,104.23,100,B,@,00,5288,N,C,,,
11/01/2011,09:34:32.244,104.22,100,T,F,00,5293,N,C,,,
11/01/2011,09:34:32.448,104.22,400,T,@,00,5294,N,C,,,
11/01/2011,09:34:32.448,104.22,300,T,@,00,5295,N,C,,,
11/01/2011,09:34:32.448,104.22,200,T,@,00,5296,N,C,,,
11/01/2011,09:34:32.984,104.22,100,T,F,00,5308,N,C,,,
11/01/2011,09:34:38.447,104.22,300,T,@,00,5370,N,C,,,
11/01/2011,09:34:46.920,104.23,100,Y,@,00,5475,N,C,,,
11/01/2011,09:34:47.375,104.2218,100,D,@,00,5484,N,C,T,,
11/01/2011,09:34:47.377,104.2227,100,D,@,00,5485,N,C,T,,
11/01/2011,09:34:47.377,104.2233,100,D,@,00,5486,N,C,T,,
11/01/2011,09:34:47.377,104.2257,100,D,@,00,5487,N,C,T,,
11/01/2011,09:34:52.055,104.22,200,T,F,00,5545,N,C,,,
11/01/2011,09:34:54.450,104.21,100,J,@,00,5596,N,C,,,
11/01/2011,09:34:55.446,104.21,100,J,@,00,5598,N,C,,,
11/01/2011,09:34:56.160,104.21,100,T,@,00,5600,N,C,,,
11/01/2011,09:34:56.200,104.21,100,T,F,00,5601,N,C,,,
11/01/2011,09:34:57.447,104.21,100,B,@,00,5617,N,C,,,
11/01/2011,09:34:57.447,104.21,100,K,@,00,5618,N,C,,,
11/01/2011,09:34:57.595,104.2,300,D,@,00,5625,N,C,T,,
11/01/2011,09:34:57.595,104.2,100,D,@,00,5626,N,C,T,,
11/01/2011,09:34:57.595,104.2,100,D,@,00,5627,N,C,T,,
11/01/2011,09:34:57.649,104.2,100,D,@,00,5628,N,C,T,,
11/01/2011,09:34:59.449,104.21,100,K,@,00,5639,N,C,,,
11/01/2011,09:35:00.557,104.21,500,T,@,00,5663,N,C,,,
11/01/2011,09:35:01.779,104.2,100,Z,@,00,5672,N,C,,,
11/01/2011,09:35:01.781,104.2,100,K,@,00,5673,N,C,,,
11/01/2011,09:35:03.180,104.2,200,T,@,00,5701,N,C,,,
11/01/2011,09:35:12.498,104.19,100,D,@,00,6119,N,C,T,,
11/01/2011,09:35:13.366,104.1803,665,D,@,00,6141,N,C,T,,
11/01/2011,09:35:15.845,104.18,100,X,@,00,6273,N,C,,,
11/01/2011,09:35:18.636,104.19,200,T,@,00,6412,N,C,,,
11/01/2011,09:35:28.486,104.18,100,D,@,00,6581,N,C,T,,
11/01/2011,09:35:28.486,104.18,100,D,@,00,6582,N,C,T,,
11/01/2011,09:35:28.486,104.18,100,D,@,00,6583,N,C,T,,
11/01/2011,09:35:29.864,104.19,100,T,F,00,6596,N,C,,,
11/01/2011,09:35:29.866,104.19,100,J,F,00,6597,N,C,,,
11/01/2011,09:35:34.952,104.2,100,Y,F,00,6661,N,C,,,
11/01/2011,09:35:34.968,104.2,100,B,F,00,6662,N,C,,,
11/01/2011,09:35:45.083,104.17,100,T,F,00,6757,N,C,,,
11/01/2011,09:35:45.093,104.17,200,T,@,00,6758,N,C,,,
11/01/2011,09:35:45.093,104.17,100,T,@,00,6759,N,C,,,
11/01/2011,09:35:52.347,104.18,100,X,F,00,6808,N,C,,,
11/01/2011,09:35:52.363,104.18,100,J,F,00,6809,N,C,,,
11/01/2011,09:36:06.434,104.17,100,T,@,00,6896,N,C,,,
11/01/2011,09:36:08.404,104.17,100,T,F,00,6922,N,C,,,
11/01/2011,09:36:08.428,104.16,100,J,@,00,6940,N,C,,,
11/01/2011,09:36:08.436,104.16,100,X,@,00,6942,N,C,,,
11/01/2011,09:36:08.522,104.16,100,P,F,00,6963,N,C,,,
11/01/2011,09:36:08.784,104.16,200,T,@,00,6980,N,C,,,
11/01/2011,09:36:10.425,104.16,100,B,F,00,6998,N,C,,,
11/01/2011,09:36:34.120,104.17,100,T,F,00,7150,N,C,,,
11/01/2011,09:36:35.792,104.16,100,J,F,00,7163,N,C,,,
11/01/2011,09:36:35.854,104.16,100,T,@,00,7164,N,C,,,
11/01/2011,09:36:39.868,104.15,100,X,@,00,7200,N,C,,,
11/01/2011,09:36:39.870,104.15,100,J,@,00,7201,N,C,,,
11/01/2011,09:36:40.818,104.15,100,T,F,00,7205,N,C,,,
11/01/2011,09:36:40.818,104.15,100,T,F,00,7206,N,C,,,
11/01/2011,09:36:46.712,104.15,100,J,F,00,7257,N,C,,,
11/01/2011,09:36:46.722,104.15,100,T,F,00,7265,N,C,,,
11/01/2011,09:36:47.587,104.15,100,X,F,00,7293,N,C,,,
11/01/2011,09:36:47.595,104.15,100,T,F,00,7297,N,C,,,
11/01/2011,09:36:47.868,104.17,100,T,F,00,7305,N,C,,,
11/01/2011,09:36:47.868,104.17,100,T,F,00,7306,N,C,,,
11/01/2011,09:36:48.014,104.1671,300,D,@,00,7310,N,C,T,,
11/01/2011,09:36:52.289,104.16,100,Z,F,00,7356,N,C,,,
11/01/2011,09:36:52.299,104.16,100,T,F,00,7357,N,C,,,
11/01/2011,09:36:52.305,104.16,100,K,F,00,7358,N,C,,,
11/01/2011,09:36:52.309,104.16,100,B,F,00,7359,N,C,,,
11/01/2011,09:37:05.596,104.141,100,D,@,00,7464,N,C,T,,
11/01/2011,09:37:15.064,104.14,100,T,F,00,7507,N,C,,,
11/01/2011,09:37:29.711,104.14,100,D,@,00,7632,N,C,T,,
11/01/2011,09:37:30.153,104.12,100,T,F,00,7634,N,C,,,
11/01/2011,09:37:30.411,104.11,200,P,@,00,7635,N,C,,,
11/01/2011,09:37:30.411,104.11,600,P,@,00,7636,N,C,,,
11/01/2011,09:37:35.629,104.1271,250,D,@,00,7666,N,C,T,,
11/01/2011,09:37:36.297,104.13,100,Z,F,00,7670,N,C,,,
11/01/2011,09:37:36.315,104.13,100,K,F,00,7671,N,C,,,
11/01/2011,09:37:36.315,104.13,100,B,F,00,7672,N,C,,,
11/01/2011,09:37:36.347,104.13,100,X,F,00,7673,N,C,,,
11/01/2011,09:37:40.325,104.127,188,D,@,00,7719,N,C,T,,
11/01/2011,09:37:40.411,104.13,188,D,@,00,7720,N,C,T,,
