year,F,M
1880,90994.0,110492.0
1881,91955.0,100747.0
1882,107851.0,113687.0
1883,112322.0,104631.0
1884,129022.0,114445.0
1885,133056.0,107801.0
1886,144536.0,110786.0
1887,145982.0,101415.0
1888,178629.0,120855.0
1889,178367.0,110589.0
1890,190377.0,111025.0
1891,185484.0,101197.0
1892,212350.0,122039.0
1893,212907.0,112319.0
1894,222923.0,115775.0
1895,233632.0,117398.0
1896,237923.0,119572.0
1897,234199.0,112759.0
1898,258772.0,122702.0
1899,233023.0,106216.0
1900,299853.0,150532.0
1901,239349.0,106475.0
1902,264078.0,122661.0
1903,261975.0,119238.0
1904,275373.0,128129.0
1905,291636.0,132320.0
1906,295303.0,133162.0
1907,318565.0,146836.0
1908,334303.0,154344.0
1909,347210.0,163986.0
1910,396445.0,194203.0
1911,418229.0,225940.0
1912,557982.0,429924.0
1913,624399.0,512519.0
1914,761439.0,654758.0
1915,983851.0,848626.0
1916,1044283.0,890110.0
1917,1081213.0,925513.0
1918,1157612.0,1013614.0
1919,1130157.0,980183.0
1920,1198252.0,1064486.0
1921,1232914.0,1101442.0
1922,1200839.0,1088330.0
1923,1206242.0,1096161.0
1924,1248807.0,1132692.0
1925,1217284.0,1115826.0
1926,1185139.0,1110482.0
1927,1192234.0,1126463.0
1928,1152925.0,1107204.0
1929,1116288.0,1074975.0
1930,1125576.0,1096851.0
1931,1064296.0,1038764.0
1932,1066944.0,1043594.0
1933,1007577.0,990849.0
1934,1043926.0,1032009.0
1935,1048326.0,1040766.0
1936,1040105.0,1036781.0
1937,1063756.0,1066059.0
1938,1103195.0,1108569.0
1939,1096427.0,1106394.0
1940,1143276.0,1158710.0
1941,1207834.0,1227701.0
1942,1350530.0,1380576.0
1943,1394945.0,1426504.0
1944,1327041.0,1362344.0
1945,1307095.0,1345611.0
1946,1571153.0,1623837.0
1947,1772223.0,1827854.0
1948,1697393.0,1752974.0
1949,1710305.0,1771812.0
1950,1713049.0,1790249.0
1951,1798766.0,1877969.0
1952,1854437.0,1943472.0
1953,1880178.0,1968980.0
1954,1941609.0,2037085.0
1955,1954555.0,2057615.0
1956,2007425.0,2113292.0
1957,2044048.0,2155583.0
1958,2010703.0,2120247.0
1959,2022927.0,2133237.0
1960,2022110.0,2132719.0
1961,2016921.0,2121967.0
1962,1966415.0,2068678.0
1963,1927098.0,2031605.0
1964,1894361.0,1992960.0
1965,1764843.0,1861278.0
1966,1691710.0,1783751.0
1967,1650636.0,1744349.0
1968,1640047.0,1738723.0
1969,1686787.0,1789616.0
1970,1747892.0,1859075.0
1971,1663232.0,1768631.0
1972,1521062.0,1622358.0
1973,1458003.0,1558841.0
1974,1467274.0,1572714.0
1975,1457449.0,1561702.0
1976,1464961.0,1569401.0
1977,1532725.0,1643115.0
1978,1531402.0,1641481.0
1979,1604729.0,1721155.0
1980,1659463.0,1782908.0
1981,1667022.0,1789955.0
1982,1692238.0,1813013.0
1983,1669642.0,1790936.0
1984,1682612.0,1802998.0
1985,1719629.0,1846408.0
1986,1714234.0,1839585.0
1987,1737603.0,1865251.0
1988,1779328.0,1912053.0
1989,1843078.0,1999923.0
1990,1897386.0,2052205.0
1991,1874240.0,2019220.0
1992,1842955.0,1995998.0
1993,1807965.0,1959889.0
1994,1784661.0,1930611.0
1995,1757444.0,1902293.0
1996,1751838.0,1892859.0
1997,1739443.0,1883708.0
1998,1765537.0,1909813.0
1999,1772314.0,1918448.0
2000,1814213.0,1961949.0
2001,1798559.0,1940786.0
2002,1794666.0,1939273.0
2003,1824792.0,1972784.0
2004,1833443.0,1982022.0
2005,1844464.0,1993948.0
2006,1897293.0,2051108.0
2007,1917881.0,2070445.0
2008,1885178.0,2034014.0
2009,1830134.0,1976208.0
2010,1768463.0,1909167.0
